date,sku,SK,promo_flag,p10,p50,p90
2026-07-31,743127,СК Столица,0,81.00694279869617,87.96838579393703,676.623576767718
2025-08-31,743137,СК Столица,0,11916.971121483311,12185.198860016852,14822.815954487329
2025-09-30,743137,СК Столица,0,47670.0956945531,47920.2529293225,50114.89742855691
2025-10-31,743137,СК Столица,0,31609.680175698213,31760.10598399837,34596.43473918826
2025-11-30,743137,СК Столица,0,14294.404453627923,14373.02108792802,17131.57976484798
2025-12-31,743137,СК Столица,0,11927.68964426164,12079.93994576404,15048.74916603671
2026-01-31,743137,СК Столица,0,8892.115690858136,9140.046949989352,12446.927001842932
2026-02-28,743137,СК Столица,0,9155.742255249686,9416.41061302303,12880.324922338472
2026-03-31,743137,СК Столица,0,23355.534060874485,23489.354143933033,26631.08206270958
2026-04-30,743137,СК Столица,0,13522.22244773271,13777.501014460327,16204.026255200244
2026-05-31,743137,СК Столица,0,14220.814266906898,14485.52270697704,16485.293032514972
2026-06-30,743137,СК Столица,0,11182.008848087578,11664.105871281805,13296.455106422787
2026-07-31,743137,СК Столица,0,15544.403783258997,15801.239048228214,18019.641761229817
2025-08-31,743147,СК Столица,0,21139.4173761448,21266.99886001685,23904.615954487323
2025-09-30,743147,СК Столица,0,38739.21230797563,38873.895694553095,41318.69742855691
2025-10-31,743147,СК Столица,0,27125.30058770339,27416.37265066504,30252.701405854932
2025-11-30,743147,СК Столица,0,14403.604453627922,14482.22108792802,17240.77976484798
2025-12-31,743147,СК Столица,0,18148.822977594973,18301.07327909737,21269.882499370044
2026-01-31,743147,СК Столица,0,14164.04902419147,14411.980283322686,17718.860335176265
2026-02-28,743147,СК Столица,0,14213.008921916353,14473.677279689697,17937.591589005136
2026-03-31,743147,СК Столица,0,18328.134060874483,18461.954143933035,21603.68206270958
2026-04-30,743147,СК Столица,0,12304.713370490468,12577.23434779366,14710.305278002596
2026-05-31,743147,СК Столица,0,13773.74760024023,14038.456040310375,16038.226365848308
2026-06-30,743147,СК Столица,0,11813.40884808758,12295.505871281805,13927.855106422789
2026-07-31,743147,СК Столица,0,13052.870449925662,13309.70571489488,15528.10842789648
2025-08-31,743157,СК Столица,0,2045.95005666416,2332.363815963085,4529.901425893644
2025-09-30,743157,СК Столица,0,6579.825324296853,7039.11389049435,8248.618305948381
2025-10-31,743157,СК Столица,0,7834.448725457033,8151.337606611273,10547.586877261252
2025-11-30,743157,СК Столица,0,2633.6881800258384,2671.378871831442,4861.263139642924
2025-12-31,743157,СК Столица,0,2028.4986605214815,2389.460148711986,4912.290709485929
2026-01-31,743157,СК Столица,0,3452.810093046579,3918.2082570120137,5780.535680681747
2026-02-28,743157,СК Столица,0,2870.36645932889,3049.063244099359,6262.396517691869
2026-03-31,743157,СК Столица,0,3592.6474974159996,3851.653890315033,6471.503352318081
2026-04-30,743157,СК Столица,0,2464.001382913561,2737.4659704065607,4616.890988496045
2026-05-31,743157,СК Столица,0,2883.671805953611,3449.578644597735,4693.27566097618
2026-06-30,743157,СК Столица,0,2900.995402677456,3664.7313181468407,5546.650992635214
2026-07-31,743157,СК Столица,0,2929.3118281293923,3235.6956516100586,5410.690447937628
2025-08-31,743167,СК Столица,0,598.7024033917189,692.2583278457083,1235.6137110384568
2025-09-30,743167,СК Столица,0,1136.9465911797754,1171.4447336825788,1306.90730464629
2025-10-31,743167,СК Столица,0,75.95788471597922,227.85174121419365,588.6869385956073
2025-11-30,743167,СК Столица,0,0.0,0.0,684.9359587258957
2025-12-31,743167,СК Столица,0,319.7379020772084,439.3308444696791,1279.7681169500436
2026-01-31,743167,СК Столица,0,380.09750881044744,502.9855350100564,1374.6700216190295
2026-02-28,743167,СК Столица,0,416.15405640617394,485.97022995696426,2245.525562495665
2026-03-31,743167,СК Столица,0,1239.7595915230445,1319.4864464698178,1902.07265142769
2026-04-30,743167,СК Столица,0,1094.8896867275475,1273.2077633656534,2626.069873927532
2026-05-31,743167,СК Столица,0,480.0508805962319,565.8293943949719,1475.6442341832894
2026-06-30,743167,СК Столица,0,23.70845484111071,197.1266380673057,1109.0426113094272
2026-07-31,743167,СК Столица,0,109.68790133230912,325.19950332091423,801.3414439518085
2025-08-31,743177,СК Столица,0,0.0,0.0,113.7107957314518
2025-09-30,743177,СК Столица,0,83.8679015600579,95.38990078018476,305.90165385013654
2025-10-31,743177,СК Столица,0,12.307746930757444,20.107991233650697,286.96785570461594
2025-11-30,743177,СК Столица,0,0.0,4.732938671002377,387.728423408509
2025-12-31,743177,СК Столица,0,88.87242408761422,107.13630996137115,456.782448272937
2026-01-31,743177,СК Столица,0,0.0,0.0,228.01633338112944
2026-02-28,743177,СК Столица,0,6.4930865907068105,104.90649330951956,580.4003696943853
2026-03-31,743177,СК Столица,0,1.1505859674550454,72.24621738295664,447.08790617411097
2026-04-30,743177,СК Столица,0,0.0,0.0,376.9114729973526
2026-05-31,743177,СК Столица,0,45.461073394915005,46.50246934558107,234.66078547525436
2026-06-30,743177,СК Столица,0,0.0,10.442287478226936,341.1070807858726
2026-07-31,743177,СК Столица,0,37.072231778703426,55.88582740533874,444.88491014753754
2025-08-31,743187,СК Столица,0,4.526743267564419,103.90004191584092,348.9861535785777
2025-09-30,743187,СК Столица,0,33.709658933094765,109.6970492491528,378.91875251105074
2025-10-31,743187,СК Столица,0,0.0,62.94521991830242,349.68925238236847
2025-11-30,743187,СК Столица,0,107.64537013071448,110.20506102568396,378.5369534965896
2025-12-31,743187,СК Столица,0,17.035855694345234,79.24385710593077,451.7272284857679
2026-01-31,743187,СК Столица,0,0.0,6.744132436976983,358.93249520414935
2026-02-28,743187,СК Столица,0,202.07130123049356,229.40647480687483,942.2055516565792
2026-03-31,743187,СК Столица,0,0.0,19.1810133288,535.454333012596
2026-04-30,743187,СК Столица,0,15.959329149414089,64.74554549156097,349.350978811918
2026-05-31,743187,СК Столица,0,0.0,0.0,124.0042704478733
2026-06-30,743187,СК Столица,0,2.9860980786927356,22.432184807929364,365.8179593447944
2026-07-31,743187,СК Столица,0,0.0621855732731982,7.743478400861594,229.27396607620892
2025-08-31,743197,СК Столица,0,377.7692692413532,489.1801898736695,1443.661332890383
2025-09-30,743197,СК Столица,0,1468.1699508505424,1548.4022238756395,1904.4374755023548
2025-10-31,743197,СК Столица,0,1083.227912175446,1130.3542012921143,1909.5261610793384
2025-11-30,743197,СК Столица,0,675.0656586339098,739.512215878649,1341.4822644469923
2025-12-31,743197,СК Столица,0,232.57205254214725,333.1307799197649,1103.2500640325195
2026-01-31,743197,СК Столица,0,218.81635421574424,290.7718377714683,1078.6936834548058
2026-02-28,743197,СК Столица,0,1937.974094997752,2037.4628918221704,3753.669047949072
2026-03-31,743197,СК Столица,0,665.1330420326977,750.4951667438586,1652.1047972672216
2026-04-30,743197,СК Столица,0,242.51058561791405,401.2507091703663,1171.0357824720995
2026-05-31,743197,СК Столица,0,612.9881321742021,814.7145047719664,1529.5507746556727
2026-06-30,743197,СК Столица,0,234.80674284085185,408.3949504163926,1436.0219522392745
2026-07-31,743197,СК Столица,0,61.577867397177705,286.72478808501853,759.1722998969904
2025-08-31,743207,СК Столица,0,0.0,5.799673203105991,410.27881867567504
2025-09-30,743207,СК Столица,0,217.7284569597357,352.14777546988904,750.8924695024363
2025-10-31,743207,СК Столица,0,262.1805520378827,379.89055824418574,955.7515127105004
